IATA Code,Airline Name
AC,Air Canada
AA,American Airlines
AG,Aruba Airlines
AV,Avianca
CM,Copa Airlines
DL,Delta Airlines
3R,Divi Divi Air
7Z,EZ Air
G3,GOL (Added)
B6,JetBlue
KL,KLM Royal Dutch Airlines
LA,LATAM Airlines Peru (Added)
WN,Southwest Airlines
NK,Spirit Airlines
PY,Surinam Airways (Added)
OR,TUI Fly NL (Added)
UA,United Airlines
WS,WestJet Airlines
WM,Winair
P5,Wingo
